q0_w	q0_x	q0_y	q0_z	q1_w	q1_x	q1_y	q1_z	q2_w	q2_x	q2_y	q2_z	q3_w	q3_x	q3_y	q3_z	q4_w	q4_x	q4_y	q4_z	
0.997467	-0.000076	-0.015431	0.068128	0.999411	0.002567	-0.003011	0.031371	0.999924	0.003955	-0.000854	-0.000787	0.999421	0.017878	-0.001018	-0.027397	0.997972	-0.003975	0.016865	-0.059854
0.995534	-0.002676	-0.018769	0.091871	0.998737	0.001611	-0.004239	0.048958	0.999942	0.004026	-0.000914	-0.001837	0.999091	0.019599	-0.001033	-0.035702	0.996527	-0.005381	0.021036	-0.079278
0.992467	-0.004577	-0.023463	0.119425	0.998206	-0.001520	-0.005112	0.058876	0.999911	0.003943	-0.000935	-0.002328	0.998734	0.021259	-0.000810	-0.044646	0.994473	-0.005923	0.025956	-0.100995
0.988399	-0.009179	-0.028101	0.148492	0.997476	-0.004364	-0.006405	0.069650	0.999922	0.004105	-0.000776	-0.003061	0.997557	0.023254	0.000820	-0.065018	0.988172	-0.011078	0.037180	-0.147643
0.978426	-0.016578	-0.037077	0.202267	0.996530	-0.005694	-0.008055	0.081688	0.999905	0.003735	-0.000395	-0.003757	0.996639	0.025058	0.001599	-0.077066	0.984242	-0.013036	0.043444	-0.170434
0.972958	-0.019083	-0.040304	0.226387	0.993829	-0.004981	-0.011147	0.109852	0.999920	0.000795	-0.000162	-0.003978	0.995392	0.025043	0.003043	-0.091740	0.980316	-0.015384	0.048268	-0.190265
0.967309	-0.024649	-0.042277	0.248628	0.991787	-0.005466	-0.011887	0.126784	0.999948	0.000003	0.000027	-0.004112	0.993838	0.025168	0.004611	-0.107183	0.976251	-0.016743	0.052240	-0.209277
0.961527	-0.022584	-0.044592	0.269984	0.989337	-0.003081	-0.013261	0.144535	0.999911	-0.001188	0.000622	-0.004329	0.989297	0.032857	0.004636	-0.141680	0.966760	-0.015288	0.057372	-0.248334
0.947839	-0.024425	-0.045823	0.314335	0.986398	-0.002758	-0.013357	0.163531	0.999952	-0.002731	0.000689	-0.004560	0.986602	0.035259	0.003927	-0.158930	0.960512	-0.014560	0.059247	-0.271244
0.938273	-0.025976	-0.047281	0.341509	0.979576	-0.002033	-0.014059	0.200102	0.999910	-0.007076	0.001415	-0.004137	0.983579	0.033672	0.003317	-0.176873	0.952692	-0.016995	0.062148	-0.296832
